Cassette: ,J900K/ENG_STI_CMPSTI_P1_FM_ Alignt OK
COLLECTION DATE/TIME: ,9/3/2015  13:33:1
PROCESS DATE/TIME: ,9/3/2015  13:33:1
EQUIPMENT: ,
OPERATOR: ,
SHIFT: ,
MACHINE TYPE: ,SpectraFx 100 with Dual FIMS Thin Film Measurement System



WAFER ID,"2015/09/03 13:33 05",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,5,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,1L_Ox_T>1000,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,1st Thickness,GOF ,
MEAN, 5436.8013,0.8586,
MIN, 5149.2134,0.8416,
MAX, 5585.8174,0.8650,
% STDDEV,  1.7425,  0.5757,
STDDEV,   94.7379,0.0049,
3 % STDDEV,  5.2276,  1.7272,
3 STDDEV,  284.2137,0.0148,
RANGE,  436.6040,0.0233,
Site #,Value,Value, X , Y ,
13, 1391.9172,  910.5980,2.0223,0.8940,-49.2844, 53.0938,
14, 1419.8766,  908.3215,2.0220,0.8936,-24.0144, 53.0938,
15, 1362.4908,  906.9391,2.0223,0.8931,  1.2556, 53.0938,
16, 1415.7156,  905.6204,2.0223,0.8959, 26.5256, 53.0938,
17, 1455.4724,  905.8394,2.0223,0.8973, 51.7956, 53.0938,
18, 1423.8748,  906.2151,2.0224,0.8950, 77.0656, 53.0938,
19, 1458.5509,  906.9318,2.0224,0.8986,102.3356, 53.0938,
20, 1482.0835,  906.6425,2.0228,0.8997,127.6056, 22.9018,
21, 1474.9314,  905.6927,2.0224,0.8979,102.3356, 22.9018,
22, 1485.9808,  903.5449,2.0222,0.8974, 77.0656, 22.9018,
23, 1488.4685,  901.3964,2.0220,0.8973, 51.7956, 22.9018,
24, 1504.6073,  901.0315,2.0224,0.8978, 26.5256, 22.9018,
25, 1469.4219,  902.6260,2.0221,0.8969,  1.2556, 22.9018,
26, 1460.5634,  903.9949,2.0220,0.8958,-24.0144, 22.9018,
27, 1367.3755,  907.1391,2.0219,0.8931,-49.2844, 22.9018,
28, 1391.3159,  911.1571,2.0223,0.8930,-74.5544, 22.9018,
29, 1412.5127,  915.7245,2.0226,0.8943,-99.8244, 22.9018,
30, 1480.1544,  919.3343,2.0233,0.8947,-125.0944, 22.9018,
31, 1491.5131,  917.7809,2.0233,0.8956,-125.0944, -7.2902,
32, 1396.0905,  911.9784,2.0224,0.8945,-99.8244, -7.2902,
33, 1400.7590,  906.8270,2.0221,0.8938,-74.5544, -7.2902,
34, 1422.1293,  902.2186,2.0220,0.8958,-49.2844, -7.2902,
35, 1523.7601,  898.9192,2.0220,0.8977,-24.0144, -7.2902,
36, 1536.0730,  896.2187,2.0223,0.8956,  1.2556, -7.2902,
37, 1585.7611,  895.6724,2.0227,0.8897, 26.5256, -7.2902,
38, 1508.2091,  896.8154,2.0221,0.8985, 51.7956, -7.2902,
39, 1510.8929,  898.9730,2.0223,0.8977, 77.0656, -7.2902,
40, 1493.7964,  901.9709,2.0223,0.8983,102.3356, -7.2902,
41, 1527.9506,  904.8621,2.0229,0.8957,127.6056, -7.2902,
42, 1436.7360,  902.7215,2.0225,0.8984,127.6056,-37.4822,
43, 1525.5311,  898.9926,2.0228,0.8993,102.3356,-37.4822,
44, 1506.4296,  896.6752,2.0223,0.8960, 77.0656,-37.4822,
45, 1511.0493,  894.9324,2.0220,0.8983, 51.7956,-37.4822,
46, 1517.8784,  894.5565,2.0217,0.8977, 26.5256,-37.4822,
47, 1549.4518,  894.0959,2.0225,0.8978,  1.2556,-37.4822,
48, 1463.0221,  895.9730,2.0222,0.8965,-24.0144,-37.4822,
49, 1393.6501,  898.8784,2.0223,0.8944,-49.2844,-37.4822,
50, 1452.3181,  903.7178,2.0223,0.8977,-74.5544,-37.4822,
51, 1428.3856,  909.2222,2.0226,0.8951,-99.8244,-37.4822,
52, 1494.8286,  915.4893,2.0235,0.8980,-125.0944,-37.4822,
53,  963.2164,  914.4683,2.0240,0.8715,-125.0944,-67.6742,
54, 1466.5461,  909.3741,2.0229,0.8961,-99.8244,-67.6742,
